Precision	Recall	Min	# of	# of
			Score	True	False
1.000		0.003	  6.219	   41	    0
0.990		0.003	  6.219	   41	    0
0.980		0.005	  6.136	   58	    1
0.970		0.510	  1.098	 6188	  191
0.960		0.542	  0.841	 6570	  273
0.950		0.591	  0.762	 7169	  377
0.940		0.633	  0.715	 7680	  489
0.930		0.675	  0.690	 8185	  616
0.920		0.730	  0.662	 8860	  769
0.910		0.771	  0.614	 9347	  923
0.900		0.814	  0.587	 9869	 1096
0.800		1.000	 -1.817	12131	 2801
0.700		1.000	 -1.817	12131	 2801
0.600		1.000	 -1.817	12131	 2801
0.500		1.000	 -1.817	12131	 2801
